County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
F,New Canaan,"Tue, 06/20 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2,2017-06-20T19:00:00Z,6,20,2
L,Watertown,"Wed, 06/21 18:00",5K,Summer Poker Run,TBD,2017-06-21T18:00:00Z,6,21,3
L,Watertown,"Wed, 06/21 18:00",3K,Summer Poker Run,TBD,2017-06-21T18:00:00Z,6,21,3
H,Bristol,"Wed, 06/21 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-06-21T18:30:00Z,6,21,3
W,Killingly,"Thu, 06/22 17:30",5K,Killingly River Trail Summer Fun Run Series #1,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,2017-06-22T17:30:00Z,6,22,4
M,Chester,"Thu, 06/22 18:15",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],2017-06-22T18:15:00Z,6,22,4
NL,Preston,"Thu, 06/22 19:00",1M,Liz Harris Memorial Cannonball Mile,"$16, $18 raceday",2017-06-22T19:00:00Z,6,22,4
F,Fairfield,"Sat, 06/24 08:00",5K,Fairfield Half & 5K,"$27 through 12/31, $28 through 2/14, $30 through 4/14, $32 through 6/23, $35 raceday",2017-06-24T08:00:00Z,6,24,6
NH,Wallingford,"Sat, 06/24 08:00",5K Obstacle,Gaylord Gauntlet,"$55 through 5/1, $65 through 6/16, $70 afterwards",2017-06-24T08:00:00Z,6,24,6
NH,Meriden,"Sat, 06/24 08:30",5K,"Central CT Pet Fair, Dog Walk and 5K","$25 through 6/20, ?? Afterwards",2017-06-24T08:30:00Z,6,24,6
L,Roxbury,"Sat, 06/24 08:30",6.4M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-06-24T08:30:00Z,6,24,6
M,Essex,"Sat, 06/24 08:45",5K,Run For Chris,"$20 through 6/5, $25 afterwards",2017-06-24T08:45:00Z,6,24,6
NH,Naugatuck,"Sat, 06/24 09:00",5K,Run for New Beginnings,"$22, $10 for children 10 and under",2017-06-24T09:00:00Z,6,24,6
NH,North Haven,"Sat, 06/24 09:30",5K,Kid-U-Not 5K Road Race,"$20, $25 raceday, Children 12 & under are 1/2 price",2017-06-24T09:30:00Z,6,24,6
L,Harwinton,"Sat, 06/24 09:30",3.4M,Catch Me If You Can,.$20,2017-06-24T09:30:00Z,6,24,6
H,West Hartford,"Sat, 06/24 10:00",5K,NWC Scholarship Scamper 5K,"$25, $15 18 and under",2017-06-24T10:00:00Z,6,24,6
T,Mansfield,"Sat, 06/24 10:00",5K,Matthew Levesque Memorial 5K,.$25,2017-06-24T10:00:00Z,6,24,6
H,Glastonbury,"Sun, 06/25 08:00",5K,Firecracker 5K/2M Road Race,"$20, $25 raceday",2017-06-25T08:00:00Z,6,25,7
H,Glastonbury,"Sun, 06/25 08:00",2M,Firecracker 5K/2M Road Race,"$20, $25 raceday",2017-06-25T08:00:00Z,6,25,7
F,Fairfield,"Sun, 06/25 08:00",13.1M,Fairfield Half & 5K,"$50 through 12/31, $60 through 2/14, $65 through 4/14, $70 through 6/24, Not available on raceday",2017-06-25T08:00:00Z,6,25,7
H,Farmington,"Tue, 06/27 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-06-27T18:15:00Z,6,27,2
H,Farmington,"Tue, 06/27 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",2017-06-27T18:10:00Z,6,27,2
F,New Canaan,"Tue, 06/27 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Predict Your Own Time Race],2017-06-27T19:00:00Z,6,27,2
H,Granby,"Wed, 06/28 18:00",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",2017-06-28T18:00:00Z,6,28,3
L,Watertown,"Wed, 06/28 18:00",5K,Summer Poker Run,TBD,2017-06-28T18:00:00Z,6,28,3
L,Watertown,"Wed, 06/28 18:00",3K,Summer Poker Run,TBD,2017-06-28T18:00:00Z,6,28,3
H,Bristol,"Wed, 06/28 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-06-28T18:30:00Z,6,28,3
NH,Meriden,"Wed, 06/28 18:30",3M,Summer Fun Run,Free,2017-06-28T18:30:00Z,6,28,3
W,Killingly,"Thu, 06/29 17:30",5K,Killingly River Trail Summer Fun Run Series #2,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,2017-06-29T17:30:00Z,6,29,4
H,Marlborough,"Thu, 06/29 18:15",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",2017-06-29T18:15:00Z,6,29,4
H,Hartford,"Thu, 06/29 18:30",5K,Riverfront Scramble #1,"$25 through 1/1, $30 through 6/18, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 6/18, $20 afterwards",2017-06-29T18:30:00Z,6,29,4
W,Killingly,"Fri, 06/30 18:00",3.2M,Red White and & BBQ,"$15 Adults, $10 18 and under",2017-06-30T18:00:00Z,6,30,5
F,Westport,"Sat, 07/01 08:00",2.3M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",2017-07-01T08:00:00Z,7,1,6
F,Norwalk,"Sat, 07/01 08:00",5M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",2017-07-01T08:00:00Z,7,1,6
F,Redding,"Sat, 07/01 08:00",9K,Rock 'N Roots,.$35,2017-07-01T08:00:00Z,7,1,6
NL,Norwich,"Sat, 07/01 08:00",5K,Rose Arts Festival Road Race,.$35,2017-07-01T08:00:00Z,7,1,6
NL,Norwich,"Sat, 07/01 08:00",10K,Rose Arts Festival Road Race,.$45,2017-07-01T08:00:00Z,7,1,6
L,Roxbury,"Sat, 07/01 08:30",3.52M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-07-01T08:30:00Z,7,1,6
NH,Milford,"Sat, 07/01 09:00",5K,Independence Day 5000,"$20, $25 raceday",2017-07-01T09:00:00Z,7,1,6
F,Bethel,"Tue, 07/04 09:00",8K,Firecracker 8K,"$25, $20 for 60 and over",2017-07-04T09:00:00Z,7,4,2
M,Chester,"Tue, 07/04 09:00",4M,Chester Rotary Four on the Fourth,"$20 through 6/20, $25 Afterwards",2017-07-04T09:00:00Z,7,4,2
W,Windham,"Tue, 07/04 10:00",1M,Boom Box Mile,"$10 through 5/30, $15 through 7/3, $20 raceday",2017-07-04T10:00:00Z,7,4,2
F,New Canaan,"Tue, 07/04 08:00",4M,Four on the Fourth,"$14.50 online, $17 by mail or race week, $20 raceday",2017-07-04T08:00:00Z,7,4,2
NH,Middlebury,"Wed, 07/05 18:00",Triathlon,Pat Griskus Sprint Triathlon,.$70 ($15 more for non-USAT members),2017-07-05T18:00:00Z,7,5,3
L,Watertown,"Wed, 07/05 18:00",5K,Summer Poker Run,TBD,2017-07-05T18:00:00Z,7,5,3
L,Watertown,"Wed, 07/05 18:00",3K,Summer Poker Run,TBD,2017-07-05T18:00:00Z,7,5,3
H,Bristol,"Wed, 07/05 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-07-05T18:30:00Z,7,5,3
H,Newington,"Wed, 07/05 18:30","5K, 3K",Newington Summer Fun Runs,Free,2017-07-05T18:30:00Z,7,5,3
NH,Meriden,"Wed, 07/05 18:30",3M,Summer Fun Run,Free,2017-07-05T18:30:00Z,7,5,3
W,Killingly,"Thu, 07/06 17:30",5K,Killingly River Trail Summer Fun Run Series #3,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,2017-07-06T17:30:00Z,7,6,4
M,Chester,"Thu, 07/06 18:15",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],2017-07-06T18:15:00Z,7,6,4
L,Litchfield,"Thu, 07/06 18:30","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,2017-07-06T18:30:00Z,7,6,4
H,Manchester,"Thu, 07/06 18:00","3K Steeplecase, 1M, 5K",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",2017-07-06T18:00:00Z,7,6,4
F,New Canaan,"Thu, 07/06 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2,2017-07-06T19:00:00Z,7,6,4
H,Farmington,"Fri, 07/07 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",2017-07-07T18:10:00Z,7,7,5
H,Farmington,"Fri, 07/07 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-07-07T18:15:00Z,7,7,5
T,Columbia,"Fri, 07/07 18:30",5K,Beat the Builder: Run for the Dominican Republic,"$15, or $40 for whole series",2017-07-07T18:30:00Z,7,7,5
M,East Hampton,"Fri, 07/07 19:15",5K,Glorious Gallop,"$20, $25 raceday; Ages 12 & under - $15",2017-07-07T19:15:00Z,7,7,5
F,Westport,"Sat, 07/08 08:00",3.1M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",2017-07-08T08:00:00Z,7,8,6
L,Roxbury,"Sat, 07/08 08:30",4.4M,Roxbury Road Race Series,$5 contribution per runner,2017-07-08T08:30:00Z,7,8,6
H,Hartford,"Sat, 07/08 08:30",5K,Red Dress Run For Women,"$25 through 1/1, $30 through 6/27, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 6/27, $20 afterwards [WOMEN ONLY]",2017-07-08T08:30:00Z,7,8,6
H,Hartford,"Sat, 07/08 08:30",Kids 1M,Red Dress Run For Women,$10 [Ages 2-11 ONLY],2017-07-08T08:30:00Z,7,8,6
H,Enfield,"Sat, 07/08 18:00",5K,Twilight Fourth of July 5K,.$30,2017-07-08T18:00:00Z,7,8,6
F,Monroe,"Sun, 07/09 07:00",Youth Tri,Race 4 Chase Youth Triathlon,$20 plus USAT membership [Ages 11+ Only],2017-07-09T07:00:00Z,7,9,7
NL,New London,"Sun, 07/09 09:15",5K,Charter Oak Sailfest 5K,"$20 through 6/15, then $25",2017-07-09T09:15:00Z,7,9,7
H,Manchester,"Mon, 07/10 18:00",1M,Summer Grand Prix Cross Country Race Series,$4; Series - $15 (pre-registered),2017-07-10T18:00:00Z,7,10,1
H,Manchester,"Mon, 07/10 18:00",2.6M,Summer Grand Prix Cross Country Race Series,$5; Series - $20 (pre-registered),2017-07-10T18:00:00Z,7,10,1
T,Columbia,"Tue, 07/11 18:00",1.5M,Summer XC Fun Run,"$4, or $8 for whole series",2017-07-11T18:00:00Z,7,11,2
T,Columbia,"Tue, 07/11 18:00",3M,Summer XC Fun Run,"$4, or $8 for whole series",2017-07-11T18:00:00Z,7,11,2
H,Farmington,"Tue, 07/11 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",2017-07-11T18:10:00Z,7,11,2
H,Farmington,"Tue, 07/11 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-07-11T18:15:00Z,7,11,2
H,Granby,"Wed, 07/12 18:00",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",2017-07-12T18:00:00Z,7,12,3
L,Watertown,"Wed, 07/12 18:00",5K,Summer Poker Run,TBD,2017-07-12T18:00:00Z,7,12,3
L,Watertown,"Wed, 07/12 18:00",3K,Summer Poker Run,TBD,2017-07-12T18:00:00Z,7,12,3
T,Somers,"Wed, 07/12 18:15",5K,Somers Summer Series,"$5 Adults, Free for children under 10",2017-07-12T18:15:00Z,7,12,3
H,Bristol,"Wed, 07/12 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-07-12T18:30:00Z,7,12,3
H,Newington,"Wed, 07/12 18:30","5K, 3K",Newington Summer Fun Runs,Free,2017-07-12T18:30:00Z,7,12,3
NH,Meriden,"Wed, 07/12 18:30",3M,Summer Fun Run,Free,2017-07-12T18:30:00Z,7,12,3
W,Killingly,"Thu, 07/13 17:30",5K,Killingly River Trail Summer Fun Run Series #4,$5 ($20 for 8-week series)ONLINE REG ONLY THRU NOON OF RACEDAY[CANCELLED - RAIN],2017-07-13T17:30:00Z,7,13,4
H,Manchester,"Thu, 07/13 18:00","3K Steeplechase, 1M, 2M",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",2017-07-13T18:00:00Z,7,13,4
H,Marlborough,"Thu, 07/13 18:15",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",2017-07-13T18:15:00Z,7,13,4
L,Litchfield,"Thu, 07/13 18:30","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,2017-07-13T18:30:00Z,7,13,4
F,Westport,"Sat, 07/15 08:00",3.8M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",2017-07-15T08:00:00Z,7,15,6
F,Norwalk,"Sat, 07/15 08:00",7M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",2017-07-15T08:00:00Z,7,15,6
L,Warren,"Sat, 07/15 08:00",Triathlon,Hopkins Vineyard Tri,"$80, add $15 for USAT 1-day membership",2017-07-15T08:00:00Z,7,15,6
L,Roxbury,"Sat, 07/15 08:30",7.25M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-07-15T08:30:00Z,7,15,6
T,Mansfield,"Sat, 07/15 08:30",5K,Run For the Playground,.$20,2017-07-15T08:30:00Z,7,15,6
NH,Milford,"Sat, 07/15 20:00",5K,Neon Night Run,"$35, free for under 5",2017-07-15T20:00:00Z,7,15,6
H,Avon,"Sat, 07/15 09:00",5K,Rolling Hills 5K,"$25, $30 raceday",2017-07-15T09:00:00Z,7,15,6
H,New Britain,"Sat, 07/15 10:30","1M, 2M",Nutmeg State Games Track Meet,$33 for up to 2 events. NO RACE DAY REGISTRATION,2017-07-15T10:30:00Z,7,15,6
L,North Canaan,"Sun, 07/16 09:00",5M,Railroad Days Road Race,"$20 through 7/5, $25 afterwards",2017-07-16T09:00:00Z,7,16,7
L,New Hartford,"Sun, 07/16 07:30",Triathlon,Litchfield Hills Triathlon & Duathlon,"$85 through 1/1, $100 through 7/5, $110 afterwards; Ages 16-22 - $5 off; 
 Add $15 for USAT 1-day membership",2017-07-16T07:30:00Z,7,16,7
L,New Hartford,"Sun, 07/16 07:30",Duathlon,Litchfield Hills Triathlon & Duathlon,"$60 through 1/1, $70 through 7/5, $90 afterwards; Ages 14-22 - $5 off; 
 Add $15 for USAT 1-day membership",2017-07-16T07:30:00Z,7,16,7
NH,West Haven,"Sun, 07/16 08:00",5K,Savin Rock 5K,.$25,2017-07-16T08:00:00Z,7,16,7
T,Ellington,"Sun, 07/16 08:00",Triathlon,Ellington Sprint Triathlon,$70 through 7/1,2017-07-16T08:00:00Z,7,16,7
F,Stamford,"Sun, 07/16 07:00",Triathlon,Navigators Stamford KIC IT Tris,"Olympic - $165 through 5/1, $175 through 5/31, $185 afterwards, Sprint $85 through 5/1, $95 through 5/31, $105 afterwards NO RACEDAY REGISTRATION",2017-07-16T07:00:00Z,7,16,7
F,Stamford,"Sun, 07/16 10:00",5K,Navigators Stamford KIC IT 5K,"$28 through 5/1, $30 through 5/31, $32 through 7/15, $35 raceday",2017-07-16T10:00:00Z,7,16,7
H,Farmington,"Tue, 07/18 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",2017-07-18T18:10:00Z,7,18,2
H,Farmington,"Tue, 07/18 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-07-18T18:15:00Z,7,18,2
L,Litchfield,"Tue, 07/18 18:30",1M,Night of Miles,.$2,2017-07-18T18:30:00Z,7,18,2
F,New Canaan,"Tue, 07/18 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Age Graded],2017-07-18T19:00:00Z,7,18,2
H,Granby,"Wed, 07/19 18:00",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",2017-07-19T18:00:00Z,7,19,3
L,Watertown,"Wed, 07/19 18:00",5K,Summer Poker Run,TBD,2017-07-19T18:00:00Z,7,19,3
L,Watertown,"Wed, 07/19 18:00",3K,Summer Poker Run,TBD,2017-07-19T18:00:00Z,7,19,3
NH,Cheshire,"Wed, 07/19 18:15",1M,Night of Miles,CANCELLED,2017-07-19T18:15:00Z,7,19,3
T,Somers,"Wed, 07/19 18:15",5K,Somers Summer Series,"$5 Adults, Free for children under 10",2017-07-19T18:15:00Z,7,19,3
H,Newington,"Wed, 07/19 18:30","5K, 3K",Newington Summer Fun Runs,Free,2017-07-19T18:30:00Z,7,19,3
L,Sharon,"Wed, 07/19 18:30",4.1M,Sharon Sunset Trot,.$5,2017-07-19T18:30:00Z,7,19,3
NH,Meriden,"Wed, 07/19 18:30",3M,Summer Fun Run,Free,2017-07-19T18:30:00Z,7,19,3
H,Bristol,"Wed, 07/19 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-07-19T18:30:00Z,7,19,3
M,Middletown,"Wed, 07/19 18:45",5K,Citizens Bank 5K Summer Fun Run,"$26 through 6/1, $28 through 7/18, $30 raceday - Students $10",2017-07-19T18:45:00Z,7,19,3
W,Killingly,"Thu, 07/20 17:30",5K,Killingly River Trail Summer Fun Run Series #5,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,2017-07-20T17:30:00Z,7,20,4
H,Manchester,"Thu, 07/20 18:00","3K Steeplecase, 1M, 5K",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",2017-07-20T18:00:00Z,7,20,4
M,Chester,"Thu, 07/20 18:15",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],2017-07-20T18:15:00Z,7,20,4
L,Litchfield,"Thu, 07/20 18:30","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,2017-07-20T18:30:00Z,7,20,4
F,Trumbull,"Fri, 07/21 18:30",5K,Sunset Run,.$30,2017-07-21T18:30:00Z,7,21,5
T,Columbia,"Fri, 07/21 18:30",5K,Beat the Builder: Run for the Dominican Republic,"$15, or $40 for whole series",2017-07-21T18:30:00Z,7,21,5
F,Westport,"Sat, 07/22 08:00",4.1M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",2017-07-22T08:00:00Z,7,22,6
NH,Meriden,"Sat, 07/22 08:00",5K,Summer Blaze 5K,.$25,2017-07-22T08:00:00Z,7,22,6
L,Roxbury,"Sat, 07/22 08:30",4.2M,Roxbury Road Race Series,free,2017-07-22T08:30:00Z,7,22,6
M,Killingworth,"Sat, 07/22 08:30",4M,Killingworth Road Race,"$22, $17 for under 18",2017-07-22T08:30:00Z,7,22,6
H,Newington,"Sat, 07/22 09:00",5K,Scottish Rite Freemasons 5K,.$25,2017-07-22T09:00:00Z,7,22,6
NL,Norwich,"Sat, 07/22 10:00",1M,Greenville Mile,"$15, $20 raceday; Ages 9 & under - Free",2017-07-22T10:00:00Z,7,22,6
H,Bloomfield,"Sun, 07/23 08:00",10K,Achilles CT Hope & Possibility 10K,"$35 through 1/1, $45 through 7/12, $50 afterwards; Ages 10-22 - $5 off",2017-07-23T08:00:00Z,7,23,7
H,Bloomfield,"Sun, 07/23 08:00",5K,Achilles CT Hope & Possibility 5K,"$25 through 1/1, $30 through 7/12, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 7/12, $20 afterwards",2017-07-23T08:00:00Z,7,23,7
W,Plainfield,"Sun, 07/23 08:30",5K,iWarriors Freedom 5K,"$20, $25 raceday",2017-07-23T08:30:00Z,7,23,7
NL,North Stonington,"Mon, 07/24 16:00",5K,Robbie's Run,$500 (fundraising),2017-07-24T16:00:00Z,7,24,1
H,Manchester,"Mon, 07/24 18:00",1M,Summer Grand Prix Cross Country Race Series,$4; Series - $15 (pre-registered),2017-07-24T18:00:00Z,7,24,1
H,Manchester,"Mon, 07/24 18:00",2.6M,Summer Grand Prix Cross Country Race Series,$5; Series - $20 (pre-registered),2017-07-24T18:00:00Z,7,24,1
H,Farmington,"Tue, 07/25 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",2017-07-25T18:10:00Z,7,25,2
H,Farmington,"Tue, 07/25 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-07-25T18:15:00Z,7,25,2
F,New Canaan,"Tue, 07/25 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Women's Shortcut],2017-07-25T19:00:00Z,7,25,2
H,Granby,"Wed, 07/26 18:00",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",2017-07-26T18:00:00Z,7,26,3
L,Watertown,"Wed, 07/26 18:00",5K,Summer Poker Run,TBD,2017-07-26T18:00:00Z,7,26,3
L,Watertown,"Wed, 07/26 18:00",3K,Summer Poker Run,TBD,2017-07-26T18:00:00Z,7,26,3
T,Somers,"Wed, 07/26 18:15",5K,Somers Summer Series,"$5 Adults, Free for children under 10",2017-07-26T18:15:00Z,7,26,3
H,Newington,"Wed, 07/26 18:30","5K, 3K",Newington Summer Fun Runs,Free,2017-07-26T18:30:00Z,7,26,3
NH,Meriden,"Wed, 07/26 18:30",3M,Summer Fun Run,Free,2017-07-26T18:30:00Z,7,26,3
H,Bristol,"Wed, 07/26 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-07-26T18:30:00Z,7,26,3
W,Killingly,"Thu, 07/27 17:30",5K,Killingly River Trail Summer Fun Run Series #6,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,2017-07-27T17:30:00Z,7,27,4
H,Manchester,"Thu, 07/27 18:00","3K Steeplechase, 1M, 2M",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",2017-07-27T18:00:00Z,7,27,4
NL,Stonington,"Thu, 07/27 18:00",5K,Blessing of the Fleet,.$20,2017-07-27T18:00:00Z,7,27,4
H,Marlborough,"Thu, 07/27 18:15",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",2017-07-27T18:15:00Z,7,27,4
L,Litchfield,"Thu, 07/27 18:30","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,2017-07-27T18:30:00Z,7,27,4
H,Hartford,"Thu, 07/27 18:30",5K,Riverfront Scramble #2,"$25 through 1/1, $30 through 7/16, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 7/16, $20 afterwards",2017-07-27T18:30:00Z,7,27,4
F,Norwalk,"Thu, 07/27 18:30",5K,Corporate FunRun Fairfield County 5K,.$40,2017-07-27T18:30:00Z,7,27,4
L,Morris,"Fri, 07/28 17:00",Triathlon,Sandy Beach Triathlon,.$75,2017-07-28T17:00:00Z,7,28,5
F,Westport,"Sat, 07/29 08:00",4.7M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",2017-07-29T08:00:00Z,7,29,6
F,Norwalk,"Sat, 07/29 08:00",9M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",2017-07-29T08:00:00Z,7,29,6
NL,Old Lyme,"Sat, 07/29 08:00",5K,LYSB Midsummer Run,"$30, $15 for youth",2017-07-29T08:00:00Z,7,29,6
NH,Milford,"Sat, 07/29 08:15",5K,Woodmont 5K,.$20,2017-07-29T08:15:00Z,7,29,6
L,New Milford,"Sat, 07/29 08:30",8M,8 Mile Road Race,.$25,2017-07-29T08:30:00Z,7,29,6
L,New Milford,"Sat, 07/29 08:30",5K,5K Run/Walk,.$25,2017-07-29T08:30:00Z,7,29,6
F,Ridgefield,"Sat, 07/29 19:00",5K,Southwest Cafe Margarita 5K,.$30,2017-07-29T19:00:00Z,7,29,6
F,Greenwich,"Sun, 07/30 07:00",Triathlon,Greenwich Cup Triathlon,.$75,2017-07-30T07:00:00Z,7,30,7
NH,Milford,"Sun, 07/30 07:30",Triathlon,Charles Island Y-Tri,TBD,2017-07-30T07:30:00Z,7,30,7
NH,Guilford,"Sun, 07/30 08:00",10M,Sea Legs Shuffle,"$40 through 7/1, $45 through 7/29, $50 raceday",2017-07-30T08:00:00Z,7,30,7
NH,Guilford,"Sun, 07/30 08:00",5K,Sea Legs Shuffle,"$26 through 7/1, $28 through 7/29, $30 raceday",2017-07-30T08:00:00Z,7,30,7
T,Somers,"Sun, 07/30 09:00",5.5M,Soapstone Assault,"$10, $15 raceday",2017-07-30T09:00:00Z,7,30,7
H,East Windsor,"Sun, 07/30 10:00",5K,"TarTan ""Dogs in the Field"" 5K","$25, $30 raceday",2017-07-30T10:00:00Z,7,30,7
H,East Windsor,"Sun, 07/30 11:00",NA,3rd Annual Run 169 Towns Society Picnic,$15 per person,2017-07-30T11:00:00Z,7,30,7
H,Farmington,"Tue, 08/01 18:10",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",2017-08-01T18:10:00Z,8,1,2
H,Farmington,"Tue, 08/01 18:15",Triathlon,Winding Trails Triathlon,"$30, $20 for members",2017-08-01T18:15:00Z,8,1,2
F,New Canaan,"Tue, 08/01 19:00",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Figure 8 Race Map],2017-08-01T19:00:00Z,8,1,2
L,Watertown,"Wed, 08/02 18:00",5K,Summer Poker Run,$3-$4,2017-08-02T18:00:00Z,8,2,3
L,Watertown,"Wed, 08/02 18:00",3K,Summer Poker Run,$3-$4,2017-08-02T18:00:00Z,8,2,3
H,Granby,"Wed, 08/02 18:00",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",2017-08-02T18:00:00Z,8,2,3
H,Manchester,"Wed, 08/02 18:00","3K Steeplechase, 1M, 2M",MRC Track & Field Series,"$10 per night, Free under 18",2017-08-02T18:00:00Z,8,2,3
T,Somers,"Wed, 08/02 18:15",5K,Somers Summer Series,"$5 Adults, Free for children under 10",2017-08-02T18:15:00Z,8,2,3
H,Bristol,"Wed, 08/02 18:30",3.7M,Bristol Summer Club,$1; $5 for summer,2017-08-02T18:30:00Z,8,2,3
H,Newington,"Wed, 08/02 18:30","5K, 3K",Newington Summer Fun Runs,Free,2017-08-02T18:30:00Z,8,2,3
NH,Meriden,"Wed, 08/02 18:30",3M,Summer Fun Run,Free,2017-08-02T18:30:00Z,8,2,3
W,Killingly,"Thu, 08/03 17:30",5K,Killingly River Trail Summer Fun Run Series #7,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,2017-08-03T17:30:00Z,8,3,4
M,Chester,"Thu, 08/03 18:15",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],2017-08-03T18:15:00Z,8,3,4
H,Hartford,"Thu, 08/03 18:20",5K,CFA Society Hartford Corporate 5K,"$26 through 7/2, $28 through 8/2, $30 raceday",2017-08-03T18:20:00Z,8,3,4
L,Litchfield,"Thu, 08/03 18:30","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,2017-08-03T18:30:00Z,8,3,4
T,Columbia,"Fri, 08/04 18:30",5K,Beat the Builder: Run for the Dominican Republic,"$15, or $40 for whole series",2017-08-04T18:30:00Z,8,4,5
F,Brookfield,"Fri, 08/04 19:00",5K,Sunset Sizzler,"$25, $20 student",2017-08-04T19:00:00Z,8,4,5
L,Washington,"Sat, 08/05 07:00",50M,XTERRA Steep Rock,"$100 through 7/1, then $110, $115 raceday",2017-08-05T07:00:00Z,8,5,6
L,Washington,"Sat, 08/05 07:00",50K,XTERRA Steep Rock,"$85 through 7/1, then $95, $100 raceday",2017-08-05T07:00:00Z,8,5,6
L,Washington,"Sat, 08/05 08:00",25K,XTERRA Steep Rock,"$50 through 7/1, then $60, $65 raceday",2017-08-05T08:00:00Z,8,5,6
F,Danbury,"Sat, 08/05 08:00",5K,Ace of a Race,.$25,2017-08-05T08:00:00Z,8,5,6
F,Danbury,"Sat, 08/05 08:00",1M,Ace of a Race,.$25,2017-08-05T08:00:00Z,8,5,6
