County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
H,Hartland,"Sun, 04/23 09:00",5M,Water Protectors 5 Miler,.$20,2017-04-23T09:00:00Z,4,23,7
M,Old Saybrook,"Sun, 04/23 09:00",5K,Seaside Shuffle,"$20, $25 raceday",2017-04-23T09:00:00Z,4,23,7
NL,East Lyme,"Sun, 04/23 10:00",5K,Boardwalk 5K,"$25, $20 students",2017-04-23T10:00:00Z,4,23,7
NH,Meriden,"Sun, 04/23 10:00",5K,Rotary Daffodil 5K,"$25, $30 raceday",2017-04-23T10:00:00Z,4,23,7
NH,Guilford,"Sun, 04/23 10:00",5K,Run for Veterans,.$25,2017-04-23T10:00:00Z,4,23,7
NH,Guilford,"Sun, 04/23 10:00",10K,Run for Veterans,.$25,2017-04-23T10:00:00Z,4,23,7
H,Farmington,"Sun, 04/23 13:00",5K,East Farms Spring Ahead 5K,"$20 through 4/7, $25 afterwards",2017-04-23T13:00:00Z,4,23,7
F,Newtown,"Sat, 04/29 08:00",10K,Rooster Run,"$25, $30 raceday; Ages 5-17 - $15 [Activity 314102A for adults, 314102B for children]",2017-04-29T08:00:00Z,4,29,6
F,Newtown,"Sat, 04/29 08:00",5K,Rooster Run,"$25, $30 raceday; Ages 5-17 - $15 [Activity 314102A for adults, 314102B for children]",2017-04-29T08:00:00Z,4,29,6
L,Roxbury,"Sat, 04/29 08:30",4.8M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-04-29T08:30:00Z,4,29,6
F,Norwalk,"Sat, 04/29 08:30",5K,Whittingham Cancer Center Walk & Sally's Run,.$30,2017-04-29T08:30:00Z,4,29,6
M,East Hampton,"Sat, 04/29 09:00",5K,Seeds of Hope,"$25, $30 raceday",2017-04-29T09:00:00Z,4,29,6
NH,Southbury,"Sat, 04/29 09:00",5K,Hoof it for Haiti,"$25, $30 raceday",2017-04-29T09:00:00Z,4,29,6
NH,Milford,"Sat, 04/29 09:00",5K,Colony Grill/PLM All You Need Is Love 5K,"$35, $25 for Military and First Responders, $0 for students",2017-04-29T09:00:00Z,4,29,6
NL,Lisbon,"Sat, 04/29 10:00",5K,Joe Kelley Memorial 5K Road Race,$25 (+2.95),2017-04-29T10:00:00Z,4,29,6
H,Windsor,"Sat, 04/29 10:00",5K,Blue & Green 5K,.$25,2017-04-29T10:00:00Z,4,29,6
L,Goshen,"Sat, 04/29 11:00",5M,Shane Kinsella Memorial Run,"$20 (+2.69) through 4/22, $25 afterwards; Family - $50",2017-04-29T11:00:00Z,4,29,6
M,Cromwell,"Sat, 04/29 11:00",5K,Mahoney Sabol 5K,"$27 through 1/1, $32 through 4/18, $37 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 4/18, $20 afterwards",2017-04-29T11:00:00Z,4,29,6
